obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 9.0, 915626, 277180, 104965, 188906, 39050, 31170, 13293, 5628, NA, NA, NA, 1575818,  1*
2, 10.0, 2389288, 311354, 56785, 17128, 7493, 1847, 3105, 3135, NA, NA, NA, 2790135,  1*
3, 11.0, 1322881, 403720, 45884, 27685, 11210, 10253, 2789, 1341, NA, NA, NA, 1825763,  1*
4, 11.9, 557758, 93399, 12028, 10760, 3901, 5959, 4950, 1582, 50, 35, NA, 690337,  1*
5, 13.0, 492870, 187413, 139449, 18650, 12038, 4747, 4060, 2289, 51, 47, NA, 861516,  1*
6, 14.0, 57346, 48698, 14423, 6044, 4279, 784, 515, 412, 50, 48, NA, 132501,  1*
7, 14.9, 198441, 252955, 49603, 24052, 7191, 4357, 2009, 971, 51, 44, NA, 539579,  1*
8, 16.0, 652015, 85339, 33696, 34863, 14750, 7035, 8912, 3704, 50, 57, NA, 840314,  1*
9, 17.0, 120414, 57977, 6262, 13716, 3286, 3326, 1751, 2168, 57, 44, NA, 208900,  1*
10, 18.0, 543750, 350047, 31397, 65380, 17585, 22588, 6043, 3787, 70, 40, NA, 1040577,  1*
11, 18.9, 206689, 24538, 2642, 716, 993, 1926, 952, 396, 87, 30, NA, 238852,  1*
12, 20.0, 137136, 104215, 41429, 18433, 3807, 3907, 4542, 1427, 81, 27, NA, 314896,  1*
13, 21.0, 97477, 73242, 7656, 39000, 11184, 5131, 1601, 1497, 81, 37, NA, 236788,  1*
14, 22.0, 145759, 82429, 39505, 4961, 4168, 1808, 3337, 1802, 70, 47, NA, 283769,  1*
15, 23.0, 104447, 183880, 18172, 3819, 4351, 1886, 1667, 1674, 53, 44, NA, 319896,  1*
16, 24.0, 181725, 44494, 7590, 10235, 3710, 3459, 2293, 2001, 60, 40, NA, 255507,  1*
17, 27.0, 152131, 86773, 24152, 10922, 10874, 2144, 2834, 699, 51, 34, NA, 290529,  1*
18, 28.0, 95592, 17044, 46409, 9165, 4558, 2585, 466, 541, 60, 51, NA, 176360,  1*
19, 29.0, 1324742, 348168, 81881, 37319, 51074, 14424, 6278, 2071, 70, 63, NA, 1865957,  1*
20, 29.9, 146469, 81741, 56532, 46855, 16762, 5883, 2292, 3263, 66, 75, NA, 359797,  1*
21, 31.0, 293786, 34619, 17852, 13067, 11825, 2073, 4426, 1597, 70, 83, NA, 379245,  1*
22, 31.9, 61949, 17149, 8119, 13865, 2711, 885, 999, 864, 66, 74, NA, 106541,  1*
23, 32.9, 216340, 59657, 43282, 58916, 9466, 8057, 2810, 1964, 70, 91, NA, 400492,  1*
24, 33.9, 193076, 33550, 54967, 45611, 11666, 11683, 7137, 2720, 80, 97, NA, 360410,  1*
25, 34.9, 22897, 90283, 25883, 22512, 14347, 5371, 2526, 2723, 81, 93, NA, 186542,  1*
26, 36.0, 89161, 80864, 7080, 6888, 12002, 2593, 2221, 557, 83, 67, NA, 201366,  1*
27, 37.0, 52245, 17562, 20782, 7913, 7651, 2519, 843, 873, 83, 66, NA, 110388,  1*
28, 38.0, 140156, 157406, 18423, 23060, 13201, 20087, 2632, 1915, 84, 40, NA, 376880,  1*
29, 39.0, 2618917, 194933, 26306, 18121, 16165, 5278, 6122, 2137, 80, 29, NA, 2887979,  1*
30, 40.0, 361183, 49091, 5546, 5833, 17767, 5755, 2116, 346, 90, 30, NA, 447637,  1*
31, 41.0, 694976, 176494, 15261, 37886, 33048, 11920, 2862, 2932, 90, 11, NA, 975379,  1*
32, 42.0, 134384, 25138, 21924, 2097, 4268, 3938, 452, 308, 88, 24, NA, 192509,  1*
33, 43.0, 97269, 18908, 35515, 4259, 5697, 3008, 1926, 653, 94, 50, NA, 167235,  1*
34, 44.0, 396419, 108328, 22984, 26825, 12733, 6624, 3586, 6481, 87, 60, NA, 583980,  1*
35, 45.0, 234033, 63056, 18680, 102586, 1527, 7377, 2473, 2048, 84, 87, NA, 431780,  1*
36, 45.9, 219648, 173265, 11217, 22438, 21964, 8348, 4013, 3547, 80, 69, NA, 464440,  1*
37, 47.0, 135886, 12997, 3091, 5617, 8350, 1764, 617, 1036, 84, 53, NA, 169358,  1*
38, 48.0, 1029622, 127873, 144110, 33864, 31389, 5721, 4372, 3306, 78, 64, NA, 1380257,  1*
39, 48.9, 503975, 118427, 61638, 38108, 2688, 9758, 3717, 3689, 80, 54, NA, 742000,  1*
40, 50.0, 199240, 56866, 19647, 25954, 20453, 3995, 6053, 2050, 78, 69, NA, 334258,  1*
41, 51.0, 208832, 150243, 10952, 28588, 37673, 6242, 4858, 1525, 70, 63, NA, 448913,  1*
42, 52.0, 183372, 20237, 22209, 1161, 5327, 2963, 636, 1060, 83, 60, NA, 236965,  1*
43, 53.0, 402074, 36401, 16535, 16760, 4293, 2958, 1906, 1802, 81, 61, NA, 482729,  1*
44, 54.0, 425711, 37558, 14408, 36635, 10314, 11753, 4713, 3696, 93, 66, NA, 544788,  1*
45, 55.0, 146091, 120715, 14987, 44488, 18273, 5867, 2602, 2070, 91, 75, NA, 355093,  1*
46, 56.0, 782128, 37962, 21868, 23003, 25112, 4719, 2462, 3670, 90, 70, NA, 900924,  1*
47, 57.0, 310338, 55285, 59041, 55528, 28639, 11169, 4212, 1561, 93, 75, NA, 525773,  1*
48, 58.0, 1221771, 34239, 24153, 36523, 9210, 5425, 3175, 1893, 84, 80, NA, 1336389,  1*
49, 59.0, 173205, 26949, 22270, 4768, 5277, 930, 606, 1616, 78, 88, NA, 235621,  1*
50, 60.0, 474427, 32388, 7187, 9807, 5157, 4160, 2391, 1131, 83, 83, NA, 536648,  1*
51, 61.0, 113792, 5150, 1822, 5760, 2594, 1847, 1929, 623, 90, 78, NA, 133517,  1*
52, 62.0, 725437, 13067, 14037, 14379, 7563, 7516, 2923, 494, 100, 75, NA, 785416,  1*
53, 63.0, 1151069, 132765, 14678, 62217, 7848, 7848, 1526, 2654, 100, 69, NA, 1380605,  1*
54, 64.0, 794383, 106715, 18752, 65454, 18736, 9934, 1522, 2131, 100, 74, NA, 1017627,  1*
55, 65.0, 431481, 47614, 66177, 58878, 13563, 5427, 1747, 2275, 90, 84, NA, 627162,  1*
56, 66.0, 689730, 26507, 22229, 4855, 13117, 4594, 4089, 1413, 83, 80, NA, 766534,  1*
57, 67.0, 618687, 43261, 19762, 37400, 2695, 2885, 2997, 2135, 80, 90, NA, 729822,  1*
58, 68.0, 307966, 38526, 28829, 51603, 1730, 7149, 5966, 1696, 80, 100, NA, 443465,  1*
59, 69.0, 679806, 111960, 25650, 36336, 15879, 3567, 2624, 3080, 77, 87, NA, 878902,  1*
60, 70.0, 133766, 6030, 7260, 3185, 1027, 885, 3007, 362, 70, 94, NA, 155522,  1*
61, 71.0, 632437, 49440, 13462, 19220, 9250, 5524, 2392, 2771, 78, 83, NA, 734496,  1*
62, 72.0, 446088, 17635, 23748, 12580, 18228, 2672, 2644, 5389, 77, 77, NA, 528984,  1*
63, 73.0, 209393, 15140, 9375, 66938, 17234, 4015, 5111, 2021, 83, 96, NA, 329227,  1*
64, 74.0, 110504, 6389, 1786, 7936, 6378, 1197, 472, 756, 88, 88, NA, 135418,  1*
65, 75.0, 769485, 55018, 104450, 27082, 4949, 9346, 3808, 3836, 87, 100, NA, 977974,  1*
66, 76.0, 352253, 164732, 5699, 15745, 6206, 6746, 2365, 2700, 83, 80, NA, 556446,  1*
67, 77.0, 254555, 75634, 22062, 18521, 5913, 3609, 6270, 2359, 81, 60, NA, 388923,  1*
68, 78.0, 311528, 112697, 25654, 8486, 2708, 6936, 2793, 2271, 77, 50, NA, 473073,  1*
69, 79.0, 866577, 48535, 29690, 46929, 9263, 4930, 8758, 2452, 74, 43, NA, 1017134,  1*
70, 80.0, 187982, 41757, 47184, 20073, 14528, 3709, 3671, 1529, 74, 70, NA, 320433,  1*
71, 81.0, 349752, 46067, 27055, 16834, 4440, 3658, 2249, 3720, 77, 78, NA, 453775,  1*
