obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 3.0, 432327, 46634, 9955, 6420, 1658, 1158, 806, 505, NA, NA, NA, 499463,  X*
2, 4.0, 1053830, 468931, 92741, 59048, 45342, 81238, 10202, 2308, NA, NA, NA, 1813640,  X*
3, 5.0, 111320, 20058, 7152, 4486, 1073, 1774, 763, 1619, NA, NA, NA, 148245,  X*
4, 6.0, 923343, 148076, 65953, 21984, 24441, 18173, 8349, 8541, 47, 50, NA, 1218860,  X*
5, 7.0, 3132823, 927521, 314937, 70301, 47009, 15430, 14644, 2452, 34, 51, NA, 4525117,  X*
6, 8.0, 1195553, 92071, 24243, 34803, 4672, 6275, 2470, 1115, 34, 69, NA, 1361202,  X*
7, 9.0, 880095, 105026, 41378, 16766, 3891, 5274, 2282, 1119, 30, 84, NA, 1055831,  X*
8, 10.0, 88123, 17992, 24562, 4276, 1472, 286, 475, 212, 7, 97, NA, 137398,  X*
9, 11.0, 645159, 33001, 19797, 1637, 3756, 2333, 1493, 1481, 21, 100, NA, 708657,  X*
10, 12.0, 434828, 196632, 28760, 35130, 4662, 5414, 5130, 1965, 16, 77, NA, 712521,  X*
11, 13.0, 962158, 135185, 31408, 6679, 1625, 1233, 2353, 717, 1, 50, NA, 1141358,  X*
12, 14.0, 1690009, 361163, 44581, 57029, 23560, 10054, 7442, 6410, 13, 14, NA, 2200248,  X*
13, 15.0, 645031, 295057, 50342, 6133, 12856, 8363, 5839, 4616, 8, 1, NA, 1028237,  X*
14, 16.0, 1847062, 234727, 55033, 25379, 22509, 9229, 4035, 4347, 11, 1, NA, 2202321,  X*
15, 17.0, 429453, 252653, 21586, 22324, 7813, 8050, 6105, 3886, 24, 1, NA, 751870,  X*
16, 18.0, 1287488, 330487, 33456, 32555, 9061, 18620, 9119, 8064, 35, 1, NA, 1728850,  X*
17, 19.0, 2034242, 137188, 36832, 30384, 22620, 14878, 4919, 3118, 47, 1, NA, 2284181,  X*
18, 20.0, 1299550, 186847, 13372, 24135, 16019, 8539, 8656, 4258, 48, 1, NA, 1561376,  X*
19, 21.0, 252023, 113503, 13316, 53189, 14430, 5020, 1780, 732, 50, 17, NA, 453993,  X*
20, 22.0, 1057220, 635872, 94837, 50682, 6924, 9234, 7832, 2939, 37, 20, NA, 1865540,  X*
21, 23.0, 1293273, 203439, 29136, 58399, 20249, 21914, 6946, 4609, 37, 16, NA, 1637965,  X*
22, 24.0, 1070942, 217963, 27659, 16613, 21732, 12048, 5481, 2647, 37, 13, NA, 1375085,  X*
23, 25.0, 720947, 54519, 58948, 37617, 4489, 6486, 2369, 2239, 40, 34, NA, 887614,  X*
24, 26.0, 550200, 37561, 43177, 6135, 5309, 2270, 1526, 780, 47, 61, NA, 646958,  X*
25, 27.0, 1592778, 172583, 103822, 37812, 7969, 12266, 13360, 7717, 38, 77, NA, 1948307,  X*
26, 28.0, 823342, 270981, 58144, 10633, 6782, 8584, 6017, 7151, 35, 84, NA, 1191634,  X*
27, 29.0, 321169, 764948, 53451, 42841, 32551, 13689, 17298, 10867, 24, 43, NA, 1256814,  X*
28, 30.0, 836335, 20040, 10116, 18921, 3823, 699, 2752, 1349, 17, 44, NA, 894035,  X*
29, 31.0, 231186, 229903, 13962, 5268, 6780, 5103, 2909, 761, 11, 14, NA, 495872,  X*
30, 32.0, 1845172, 732391, 122044, 54984, 36415, 39789, 10405, 11809, 16, 17, NA, 2853009,  X*
31, 33.0, 1255763, 297512, 15941, 52700, 16560, 5703, 1869, 2939, 16, 34, NA, 1648987,  X*
32, 34.0, 1014720, 38562, 18497, 35459, 6931, 4114, 1229, 1115, 29, 29, NA, 1120627,  X*
33, 35.0, 533316, 492512, 108123, 9047, 14148, 17340, 3043, 2381, 35, 44, NA, 1179910,  X*
34, 36.0, 1741181, 703779, 99052, 13069, 18897, 13160, 7697, 3539, 23, 40, NA, 2600374,  X*
35, 37.0, 943601, 234605, 54921, 8810, 10600, 6939, 2457, 4945, 26, 41, NA, 1266878,  X*
36, 38.0, 469269, 497984, 19014, 53487, 7635, 26166, 5010, 4911, 26, 10, NA, 1083476,  X*
37, 39.0, 303077, 30712, 6432, 11290, 4691, 3546, 4931, 2183, 38, 20, NA, 366862,  X*
38, 40.0, 629066, 54066, 10755, 6369, 5658, 7432, 3925, 4723, 60, 27, NA, 721994,  X*
39, 41.0, 205187, 26099, 1874, 2043, 1536, 1883, 882, 963, 70, 17, NA, 240467,  X*
40, 42.0, 202772, 67379, 32755, 11282, 3039, 5033, 6079, 3915, 70, 40, NA, 332254,  X*
41, 43.0, 111199, 4540, 3577, 921, 509, 431, 352, 203, 66, 48, NA, 121732,  X*
42, 44.0, 316034, 92908, 3642, 7126, 8475, 2965, 4709, 1566, 51, 37, NA, 437425,  X*
43, 45.0, 138036, 50098, 15269, 10066, 8032, 21937, 5554, 5338, 67, 48, NA, 254330,  X*
44, 46.0, 247626, 11557, 930, 716, 484, 344, 241, 126, 63, 27, NA, 262024,  X*
45, 47.0, 1254797, 293869, 67178, 56395, 7838, 24866, 9772, 4622, 64, 17, NA, 1719337,  X*
46, 48.0, 554225, 296367, 9769, 5706, 22319, 10168, 5596, 4346, 66, 14, NA, 908496,  X*
