obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 4.9;963138;195306;72488;10352;13386;27326;4809;3043;0;0; NA;1289848;  1*
2; 5.9;1768900;72195;29959;21324;6066;1280;1751;779;0;0; NA;1902254;  1*
3; 6.9;146032;51050;20646;8358;3437;2610;945;687;0;0; NA;233765;  1*
4; 7.9;167414;45551;12898;1810;5338;1330;1259;723;38;30; NA;236323;  1*
5; 9.9;1065910;13129;46506;43869;14799;17024;1410;1710;56;54; NA;1204357;  1*
6; 10.9;268407;55806;1194;10559;11384;6023;797;905;67;37; NA;355075;  1*
7; 11.9;334693;136029;55457;25119;12251;10342;4668;614;75;37; NA;579173;  1*
8; 12.9;790032;60411;34351;18197;7221;5499;1747;1378;81;48; NA;918836;  1*
9; 13.9;1423722;93114;26865;28125;13730;5844;1592;814;66;24; NA;1593806;  1*
10; 14.9;369537;19069;10251;5256;2864;1319;1066;621;60;48; NA;409983;  1*
11; 16.0;201376;54780;12268;19266;6481;1618;1295;257;50;48; NA;297341;  1*
12; 17.0;562052;134134;41397;26923;14322;12814;7821;2323;53;41; NA;801786;  1*
13; 17.9;997287;222789;61438;23382;8513;9871;4601;1526;51;37; NA;1329407;  1*
14; 18.9;1098514;744805;280179;21501;26136;39764;8772;3576;51;26; NA;2223247;  1*
15; 21.0;2084511;18540;3801;2408;12411;2596;473;426;67;10; NA;2125166;  1*
16; 22.0;858270;472092;111463;75412;27212;13918;3589;1429;56;7; NA;1563385;  1*
17; 23.0;845200;73940;3619;11083;7640;10478;3032;2976;69;1; NA;957968;  1*
18; 24.0;1361774;149860;39587;40377;38514;30062;4581;2271;81;1; NA;1667026;  1*
19; 24.9;377583;128401;118108;27371;53069;25333;1926;1973;80;14; NA;733764;  1*
20; 26.0;84365;24006;7071;1048;2316;1957;2263;733;90;11; NA;123759;  1*
21; 27.0;420941;24712;4856;4035;6359;5137;4730;2123;91;17; NA;472893;  1*
22; 28.0;557258;18346;3803;2055;5302;1566;1299;377;87;11; NA;590006;  1*
23; 28.9;208568;79829;58009;9088;7201;4749;853;2458;77;13; NA;370755;  1*
24; 30.0;593207;64575;6759;24365;11375;9517;7798;1970;81;16; NA;719566;  1*
25; 30.9;145676;47396;18709;4317;3311;1172;379;378;61;26; NA;221338;  1*
26; 32.0;56340;104488;15808;27573;6035;4240;5535;2814;53;34; NA;222833;  1*
27; 33.0;96674;3025;15551;11167;8646;3282;2567;2632;64;48; NA;143544;  1*
28; 34.0;423650;74791;28614;11419;5313;5835;1950;1672;56;50; NA;553244;  1*
29; 35.0;98700;16578;746;1686;4159;851;749;919;66;34; NA;124388;  1*
30; 35.9;2028347;320403;73247;15983;15144;9810;2454;2247;64;30; NA;2467635;  1*
31; 37.0;86244;34204;4802;8125;1849;3125;1893;1938;60;8; NA;142180;  1*
32; 38.0;92874;21908;7828;8409;4079;5049;3066;3401;69;11; NA;146614;  1*
33; 38.9;14831;16416;11445;11229;7568;6000;1680;4223;80;38; NA;73392;  1*
34; 39.9;30367;38814;10615;8181;3243;3887;2416;1881;90;47; NA;99404;  1*
35; 41.0;8142;32751;14871;10520;7497;3505;3078;1851;90;54; NA;82215;  1*
36; 41.9;202517;161450;10257;6035;10471;3947;4671;2345;75;34; NA;401693;  1*
37; 42.9;1486357;36525;83545;56428;8464;12957;3059;4044;67;48; NA;1691379;  1*
38; 43.9;233664;34653;7634;17894;10159;6536;2529;3038;74;51; NA;316107;  1*
39; 45.0;178221;19068;12400;1661;2700;1538;507;654;69;53; NA;216749;  1*
40; 46.0;26024;68715;27414;2359;10925;6812;3486;1286;80;69; NA;147021;  1*
41; 46.9;365515;252382;62756;38269;25329;6759;1856;4142;67;47; NA;757008;  1*
42; 47.9;80681;21332;1807;8102;2101;1666;304;1418;61;43; NA;117411;  1*
43; 49.0;833022;489342;18620;60144;45829;19240;3976;3488;57;23; NA;1473661;  1*
44; 50.0;817319;90463;41457;7696;10654;13165;2655;2445;61;26; NA;985854;  1*
45; 51.0;275868;44751;1731;2328;3406;1018;661;743;61;10; NA;330506;  1*
46; 52.0;313727;99532;7967;9185;16726;7322;4307;3996;63;1; NA;462762;  1*
47; 52.9;151896;52804;12193;16311;6734;4080;1514;827;67;13; NA;246359;  1*
48; 54.0;75698;27304;17286;503;2522;2159;921;633;61;16; NA;127026;  1*
49; 54.9;86733;6662;2221;4346;811;3217;589;468;84;41; NA;105047;  1*
50; 55.9;70308;10502;6291;4171;1349;1431;440;354;87;64; NA;94846;  1*
51; 56.9;56693;18944;832;469;1604;1161;1088;587;88;44; NA;81378;  1*
52; 57.9;97485;17746;17452;4274;5737;10969;2205;3296;100;47; NA;159164;  1*
53; 59.0;128401;67600;35230;21288;9258;10868;1991;5669;93;48; NA;280305;  1*
54; 59.9;64548;23684;5213;11082;3150;3913;2716;1973;97;41; NA;116279;  1*
55; 60.9;72885;14063;1748;851;4063;1811;397;74;100;50; NA;95892;  1*
56; 61.9;26345;38858;7661;17255;19488;4545;5028;2054;90;47; NA;121234;  1*
57; 63.0;636596;18202;24513;15918;6327;6226;1388;2249;91;53; NA;711419;  1*
58; 64.0;120200;30264;5037;6495;4114;5076;1182;996;93;47; NA;173364;  1*
59; 64.9;32291;17462;21076;2856;12236;6010;2391;2786;94;64; NA;97108;  1*
60; 66.0;236195;131742;26767;13634;13643;8796;4601;1554;93;60; NA;436932;  1*
61; 66.9;22053;29430;2407;5431;4304;3456;4100;2465;91;40; NA;73646;  1*
62; 67.9;93848;88322;5628;3167;1300;2805;1036;561;78;26; NA;196667;  1*
63; 68.9;61715;67599;1310;959;1906;2436;309;544;64;1; NA;136778;  1*
64; 70.0;1008367;58329;9001;4252;5104;4911;1847;1377;66;1; NA;1093188;  1*
65; 70.9;32752;24954;3695;6690;3047;6673;2961;6887;75;8; NA;87659;  1*
66; 71.9;1086258;39517;13477;11303;4913;9823;1657;3117;90;29; NA;1170065;  1*
67; 73.0;119492;41250;8042;6771;5258;24752;2755;1738;100;48; NA;210058;  1*
68; 73.9;224251;51906;10287;4447;3093;1469;586;618;96;53; NA;296657;  1*
69; 74.9;89209;20555;11484;492;6584;916;743;808;75;56; NA;130791;  1*
70; 75.9;64822;7873;675;1514;732;1420;722;259;70;50; NA;78017;  1*
71; 77.0;433490;19638;3334;11574;4599;2487;1723;3035;54;57; NA;479880;  1*
72; 77.9;6815;26200;30865;12093;7530;9874;1719;3122;70;70; NA;98218;  1*
73; 78.9;63195;22900;4107;5436;3960;7426;3357;2590;90;66; NA;112971;  1*
74; 79.9;304922;62254;1704;568;1211;1514;1607;331;74;48; NA;374111;  1*
75; 80.9;171296;50414;33679;10626;10711;9616;2694;2147;77;50; NA;291183;  1*
76; 82.0;734455;42841;35283;5141;8647;1642;848;704;60;47; NA;829561;  1*
77; 82.9;64218;23136;8975;3680;3774;3643;1237;5109;53;51; NA;113772;  1*
78; 83.9;434461;91650;11769;1612;9777;4000;4000;1985;57;64; NA;559254;  1*
79; 84.9;72257;35424;8708;4594;3027;2339;1555;3577;51;57; NA;131481;  1*
80; 86.0;178132;112370;5357;2322;8427;9138;2874;2454;64;34; NA;321074;  1*
81; 86.9;423031;46184;3279;3341;7215;4668;3544;1332;63;20; NA;492594;  1*
82; 88.0;251609;89864;15202;5679;6528;11220;4009;5614;69;23; NA;389725;  1*
83; 88.9;2421117;93443;42253;5623;14912;11162;2564;1746;74;24; NA;2592820;  1*
84; 89.9;23677;26749;11193;6116;3079;6621;3471;1916;80;47; NA;82822;  1*
85; 91.0;25166;23558;7281;7182;8153;4303;1974;2753;81;60; NA;80370;  1*
86; 91.9;42131;16855;27328;12431;6607;2125;2293;2571;74;80; NA;112341;  1*
87; 93.0;914202;294811;159152;56016;9901;8739;6304;1759;61;84; NA;1450884;  1*
88; 93.9;953336;143963;14944;3435;5531;5593;7365;5727;48;70; NA;1139894;  1*
89; 95.0;28598;10835;9167;5434;5554;2866;4214;1251;48;77; NA;67919;  1*
90; 96.0;82026;29446;13199;2244;2703;1461;572;411;47;64; NA;132062;  1*
91; 96.9;12462;32658;13043;6312;2523;4099;2278;1866;61;61; NA;75241;  1*
92; 98.0;31093;8300;32641;10973;4101;4218;2159;2380;69;91; NA;95865;  1*
93; 99.0;47481;9480;9111;7794;4213;6229;2184;3465;77;93; NA;89957;  1*
94; 99.9;84719;40820;9836;1650;4907;1437;763;579;75;87; NA;144711;  1*
95; 101.0;10811;22334;7661;3277;10093;3996;5215;3273;77;81; NA;66660;  1*
96; 102.0;154757;393;1908;2696;1013;515;284;168;78;81; NA;161734;  1*
97; 102.9;383932;64524;20266;2724;12158;5028;3126;1318;66;69; NA;493076;  1*
98; 104.0;605823;45615;14721;4362;4947;3996;756;673;74;74; NA;680893;  1*
99; 105.0;156344;81730;32590;7992;13116;5646;697;1697;64;77; NA;299812;  1*
100; 106.0;28063;34936;26757;8305;7927;5206;2351;4385;61;66; NA;117930;  1*
101; 106.9;14352;29576;8083;10562;1902;5488;4914;3516;67;70; NA;78393;  1*
102; 107.9;42241;22192;8820;13599;2799;12166;1270;1585;80;75; NA;104672;  1*
103; 108.9;302020;24166;13092;3082;10418;3397;6920;2648;87;77; NA;365743;  1*
104; 110.0;269699;38708;1706;7589;7571;5844;1686;1210;90;63; NA;334013;  1*
105; 110.9;659941;13771;10952;26176;8414;6903;3606;3395;91;70; NA;733158;  1*
106; 112.0;63667;14084;10378;7441;5745;4005;2629;1719;84;75; NA;109668;  1*
107; 113.0;454534;29973;13221;31756;2518;5376;3510;3369;83;84; NA;544257;  1*
108; 114.0;273362;164727;12421;36507;14974;7409;2371;2864;70;87; NA;514635;  1*
109; 115.0;30288;32641;6768;21438;2773;7625;1647;3111;70;80; NA;106291;  1*
110; 116.0;16286;42812;5615;1831;9298;6784;1613;3152;70;63; NA;87391;  1*
111; 116.9;55078;13431;1609;981;3106;3212;1883;725;81;43; NA;80025;  1*
112; 118.0;22604;66274;2775;3183;11434;2897;1956;3569;83;30; NA;114692;  1*
113; 118.9;28913;22532;7428;860;4934;2494;4426;4644;78;23; NA;76231;  1*
114; 120.0;410668;68776;32693;2645;6137;1832;629;559;60;37; NA;523939;  1*
115; 120.9;40851;29750;4999;16022;7865;2733;2798;1693;50;50; NA;106711;  1*
116; 121.9;60632;15354;1022;1151;2583;1605;982;443;56;53; NA;83772;  1*
117; 122.9;80442;97860;13770;16259;11110;9804;2381;2685;56;51; NA;234311;  1*
118; 123.9;46190;27398;3040;6352;5177;2253;1359;6306;66;47; NA;98075;  1*
119; 124.9;213708;69147;3868;2377;3909;2154;1212;522;61;27; NA;296897;  1*
120; 125.9;10486;6955;15348;2423;4379;2286;2955;1996;61;51; NA;46828;  1*
121; 126.9;326239;99786;36920;4589;6846;2279;6026;2168;48;56; NA;484853;  1*
122; 128.0;117581;62646;20747;7554;4525;631;653;838;27;60; NA;215175;  1*
123; 128.9;24025;9140;7959;5671;2725;4163;1949;1187;44;81; NA;56819;  1*
124; 130.0;494057;214637;12150;5713;16362;6287;2517;1123;35;54; NA;752846;  1*
125; 131.0;90984;34764;12789;4075;2244;1912;630;367;41;56; NA;147765;  1*
126; 131.9;31453;25362;6794;13328;3122;8508;3154;3082;70;57; NA;94803;  1*
127; 132.9;789677;41924;44794;16546;8278;4457;2534;2283;57;61; NA;910493;  1*
128; 133.9;137638;6000;3039;1104;1730;1290;1200;1667;74;80; NA;153668;  1*
