obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 2.0;31575;4715;1387;597;1162;2803;285;210; NA; NA; NA;42734;  X*
2; 3.0;69821;32947;8389;7709;3648;2708;4949;1541; NA; NA; NA;131712;  X*
3; 4.1;50950;79053;36999;4929;30136;7979;8164;4869; NA; NA; NA;223079;  X*
4; 5.0;50421;10829;13798;13233;14082;16457;6249;5804;51;51; NA;130873;  X*
5; 5.9;7720;8284;11836;23367;5723;4113;8097;8349;50;75; NA;77489;  X*
6; 6.9;113981;70220;18455;7309;30195;7243;5909;8282;44;64; NA;261594;  X*
7; 8.0;133742;61147;7302;15320;4292;7467;6116;4008;41;61; NA;239394;  X*
8; 9.0;38335;35141;7461;17315;26151;6810;3760;4017;27;44; NA;138990;  X*
9; 9.9;23527;61003;58777;23162;4314;16377;8459;3645;27;37; NA;199264;  X*
10; 11.0;147706;120985;16583;27381;3833;2318;4688;5424;14;41; NA;328918;  X*
11; 11.9;81301;59023;16962;44980;7142;7983;14767;13202;14;56; NA;245360;  X*
12; 13.0;2023198;93404;27549;13100;14901;11832;9309;16459;13;56; NA;2209752;  X*
13; 13.9;22955;26471;93773;55228;3699;9264;5061;5765;8;64; NA;222216;  X*
14; 14.9;22075;22357;74580;19160;9511;17260;5056;3392;29;84; NA;173391;  X*
15; 16.0;139635;59282;21549;44470;32773;20802;7648;3381;38;75; NA;329540;  X*
16; 17.0;113662;18609;15103;2734;8655;5292;1334;659;43;78; NA;166048;  X*
17; 18.0;40642;7967;1555;922;3024;1868;416;89;53;41; NA;56483;  X*
18; 19.0;18168;4065;9892;411;903;1236;1050;886;48;38; NA;36611;  X*
19; 19.9;73212;24013;5513;17157;3506;6903;1617;2507;47;38; NA;134428;  X*
20; 20.9;22369;37477;47540;27152;17292;13492;4282;1973;47;48; NA;171577;  X*
21; 22.0;48341;7639;61995;17808;4618;17345;4596;1442;48;80; NA;163784;  X*
22; 23.0;53089;24470;20804;38855;12160;11797;4421;2340;53;77; NA;167936;  X*
23; 23.9;14529;44998;42397;16113;3794;14792;3188;4580;53;81; NA;144391;  X*
24; 25.1;2283;28953;6969;8166;4527;9890;3794;1826;57;66; NA;66408;  X*
25; 26.0;40977;30817;39958;63935;28438;20800;2886;1002;54;57; NA;228813;  X*
26; 27.0;8341;12760;306599;53527;5348;21665;5138;4534;47;70; NA;417912;  X*
27; 28.1;11029;30584;87251;7128;12129;9590;5808;6562;40;74; NA;170081;  X*
28; 28.9;21251;13938;168462;9732;7664;10752;4489;3568;26;97; NA;239856;  X*
29; 30.0;14823;14064;117657;23943;13511;18054;9525;3049;24;100; NA;214626;  X*
30; 31.0;9233;55120;115967;6996;20283;14508;6480;3451;29;83; NA;232038;  X*
31; 31.9;38250;18355;16041;18956;13185;8222;5122;5518;37;77; NA;123649;  X*
32; 33.1;4933;11761;126928;26641;4809;15873;1792;2036;41;75; NA;194773;  X*
33; 33.9;19315;16739;13866;26205;6741;17637;5543;3461;51;63; NA;109507;  X*
34; 35.0;14851;14673;47196;4379;10894;9737;2620;1994;54;61; NA;106344;  X*
35; 36.0;20286;29473;72825;124096;16800;14223;4563;4587;47;75; NA;286853;  X*
36; 36.9;76172;33089;136202;17274;18623;11807;5244;2372;41;67; NA;300783;  X*
37; 37.9;13157;6760;15632;25625;10743;11492;4943;4174;40;74; NA;92526;  X*
38; 39.0;1265575;194409;25877;11860;6389;7601;5253;3192;26;53; NA;1520156;  X*
