obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 1576814, 416841, 87461, 55025, 102786, 54020, 12432, 5445, NA, NA, NA, 2310824,  X*
2, 6.0, 257609, 58093, 9557, 7868, 10196, 5855, 1121, 1456, NA, NA, NA, 351755,  X*
3, 7.0, 91474, 106807, 65325, 4600, 17511, 13746, 7304, 2826, NA, NA, NA, 309593,  X*
4, 8.0, 169492, 41083, 45055, 19399, 39166, 8975, 3572, 4147, 51, 51, NA, 330889,  X*
5, 9.0, 627918, 179001, 12032, 94915, 17839, 28202, 14059, 5015, 75, 57, NA, 978981,  X*
6, 10.0, 82038, 71341, 36806, 22110, 22563, 14177, 9661, 4942, 97, 64, NA, 263638,  X*
7, 11.0, 48355, 14899, 32272, 19984, 10331, 14120, 3821, 2577, 100, 87, NA, 146359,  X*
8, 12.0, 1800729, 2354154, 98236, 151701, 80804, 18327, 4541, 3709, 91, 54, NA, 4512201,  X*
9, 13.0, 194342, 22343, 5746, 2609, 7165, 1636, 448, 962, 75, 47, NA, 235251,  X*
10, 14.0, 100807, 28615, 17692, 19037, 13559, 11834, 7691, 4754, 74, 50, NA, 203989,  X*
11, 15.0, 51565, 7212, 10478, 1883, 7144, 2271, 2518, 1184, 66, 40, NA, 84255,  X*
12, 16.0, 87706, 26584, 17742, 1445, 23136, 6979, 15808, 3067, 100, 60, NA, 182467,  X*
13, 17.1, 41355, 29401, 62014, 6795, 5131, 4197, 7620, 2317, 100, 87, NA, 158830,  X*
14, 18.0, 141116, 50549, 26601, 26776, 19514, 14801, 4768, 6080, 100, 84, NA, 290205,  X*
15, 19.0, 709781, 9482, 8512, 1162, 1911, 2637, 919, 484, 100, 81, NA, 734888,  X*
16, 20.0, 404312, 45123, 17078, 13648, 25553, 15742, 1811, 564, 100, 81, NA, 523831,  X*
17, 21.0, 1061247, 86222, 42833, 36532, 55581, 11171, 8169, 5688, 100, 63, NA, 1307443,  X*
18, 25.0, 2293156, 251357, 28814, 49094, 94361, 22827, 6935, 2893, 100, 47, NA, 2749437,  X*
19, 26.0, 1001113, 276079, 26803, 44194, 63726, 77219, 22245, 6715, 100, 26, NA, 1518094,  X*
20, 27.0, 479950, 114719, 32931, 44226, 63935, 37970, 10253, 2161, 100, 24, NA, 786145,  X*
21, 28.0, 115285, 74244, 32199, 12440, 29879, 11762, 3886, 4428, 100, 20, NA, 284123,  X*
22, 29.0, 72184, 82546, 49889, 13958, 90756, 23475, 2347, 2117, 100, 26, NA, 337272,  X*
23, 30.0, 128030, 48921, 26081, 7483, 25660, 10163, 4862, 2996, 100, 40, NA, 254196,  X*
24, 31.0, 447770, 66122, 36347, 47526, 8755, 22456, 4875, 2132, 100, 53, NA, 635983,  X*
25, 32.0, 89501, 14127, 27379, 18898, 24626, 16301, 10409, 3204, 100, 66, NA, 204445,  X*
26, 33.0, 36443, 23279, 27101, 31589, 14626, 20913, 8841, 2841, 100, 84, NA, 165633,  X*
27, 34.0, 10663, 14920, 26467, 8286, 19390, 6980, 3922, 1446, 100, 94, NA, 92074,  X*
28, 35.0, 75528, 22376, 23291, 21280, 21087, 10380, 4818, 2706, 100, 91, NA, 181466,  X*
29, 36.0, 43716, 16143, 16819, 4860, 6175, 3361, 593, 577, 100, 91, NA, 92244,  X*
30, 37.0, 80571, 31865, 8337, 3306, 5398, 4081, 1370, 337, 91, 70, NA, 135265,  X*
31, 38.0, 173532, 19096, 26437, 9651, 21952, 10294, 4819, 1625, 96, 69, NA, 267406,  X*
32, 39.0, 256772, 56253, 182183, 15347, 26216, 14663, 6596, 2371, 84, 81, NA, 560401,  X*
33, 40.0, 13481, 28362, 35111, 4770, 32799, 3381, 4249, 1814, 78, 75, NA, 123967,  X*
34, 41.0, 56610, 33989, 7408, 9316, 3579, 2195, 1720, 756, 69, 81, NA, 115573,  X*
35, 42.0, 510473, 169440, 61957, 8926, 14686, 12194, 4917, 9724, 53, 70, NA, 792317,  X*
36, 43.0, 85083, 9689, 1692, 1472, 1826, 1366, 316, 179, 60, 41, NA, 101623,  X*
37, 44.1, 71473, 68552, 11581, 5678, 21290, 18644, 1940, 2812, 78, 23, NA, 201970,  X*
38, 45.0, 8028, 29053, 41708, 40975, 36206, 8392, 4866, 2667, 84, 37, NA, 171895,  X*
