obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 1229752, 246122, 19675, 17794, 26392, 14413, 7354, 7506, NA, NA, NA, 1569008,  X*
2, 5.9, 243507, 33579, 11921, 9460, 7449, 3410, 4353, 2364, NA, NA, NA, 316043,  X*
3, 7.0, 1458526, 28824, 18862, 19713, 51728, 8502, 3614, 4108, NA, NA, NA, 1593877,  X*
4, 7.9, 118701, 15560, 1920, 2908, 3358, 729, 488, 132, 30, 41, NA, 143796,  X*
5, 8.9, 19936, 63420, 72816, 14582, 14001, 4684, 4929, 1437, 20, 64, NA, 195805,  X*
6, 10.0, 76980, 83464, 108753, 45308, 48593, 29000, 2227, 3020, 34, 88, NA, 397345,  X*
7, 10.9, 104661, 34837, 901, 2952, 1344, 1007, 391, 230, 17, 75, NA, 146323,  X*
8, 11.9, 63772, 12444, 2496, 2326, 4375, 2522, 750, 275, 41, 74, NA, 88960,  X*
9, 13.9, 199039, 100322, 5947, 8215, 12827, 6071, 5323, 1696, 50, 38, NA, 339440,  X*
10, 15.0, 1935128, 229190, 97025, 31846, 45139, 11006, 4134, 8478, 63, 35, NA, 2361946,  X*
11, 15.9, 21657, 39870, 42866, 74939, 13659, 4551, 3128, 2531, 37, 56, NA, 203201,  X*
12, 16.9, 1672771, 228877, 37220, 131960, 19199, 16938, 5331, 9055, 34, 77, NA, 2121351,  X*
13, 17.9, 1188437, 112387, 36973, 23183, 16623, 12082, 13244, 6267, 13, 84, NA, 1409196,  X*
14, 18.9, 198781, 163393, 74556, 33833, 23842, 28789, 7885, 1523, 34, 80, NA, 532602,  X*
15, 20.0, 1170687, 96498, 27173, 29151, 16516, 5358, 1201, 1375, 37, 60, NA, 1347959,  X*
16, 21.0, 1092037, 162097, 83433, 38802, 33738, 36419, 12076, 12796, 54, 57, NA, 1471398,  X*
17, 22.0, 293055, 29805, 7529, 16481, 14142, 9505, 1394, 2027, 70, 57, NA, 373938,  X*
18, 23.0, 46302, 38177, 161720, 79797, 9229, 34285, 5151, 7855, 75, 77, NA, 382516,  X*
19, 23.9, 1674816, 445475, 29383, 30116, 31889, 20762, 2993, 5800, 77, 57, NA, 2241234,  X*
20, 24.9, 63413, 61486, 23860, 41052, 13393, 3724, 2422, 2540, 51, 61, NA, 211890,  X*
21, 25.9, 320240, 242276, 59758, 18947, 22557, 9131, 6744, 6708, 20, 54, NA, 686361,  X*
22, 26.9, 398190, 80189, 124975, 9136, 15335, 12864, 3467, 3703, 7, 44, NA, 647859,  X*
23, 27.9, 29070, 36335, 62093, 13880, 17961, 4966, 2825, 1725, 8, 74, NA, 168855,  X*
