obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 5.0;15500;2197;5556;18535;5871;7191;601;890; NA; NA; NA;56341;  X*
2; 6.0;29336;30296;14541;11992;1830;6971;5273;1901; NA; NA; NA;102140;  X*
3; 7.0;37800;13930;5941;36290;6154;2700;3378;1124; NA; NA; NA;107317;  X*
4; 8.0;5992;8635;7667;27349;4023;2453;1730;2293;34;53; NA;60142;  X*
5; 9.0;4420;6132;5253;12332;5875;2729;1248;2794;37;56; NA;40783;  X*
6; 10.0;86392;77495;17743;9806;50340;8750;2354;3054;35;38; NA;255934;  X*
7; 11.0;6217;48815;14220;4665;35862;25580;1753;1595;51;20; NA;138707;  X*
8; 12.0;26979;34966;15406;5800;22564;8539;1811;2259;63;1; NA;118324;  X*
9; 13.1;99889;48263;68061;12723;17500;6919;2929;6658;53;1; NA;262942;  X*
10; 14.1;107449;65644;2512;4580;3184;1757;1607;687;38;1; NA;187420;  X*
11; 15.0;186402;36421;3180;14102;2869;4491;443;391;21;13; NA;248299;  X*
12; 16.0;209697;57012;29169;20715;14631;19181;2694;5455;21;24; NA;358554;  X*
13; 17.0;81561;27168;2430;5169;6908;4894;1126;1109;34;8; NA;130365;  X*
14; 18.0;60208;70371;11301;4628;31478;39205;2131;2141;67;10; NA;221463;  X*
15; 19.0;27071;40175;18601;7862;37547;36873;3818;2446;91;3; NA;174393;  X*
16; 20.0;9820;10628;17358;2999;37634;32494;2173;1213;100;1; NA;114319;  X*
17; 21.0;3024;6567;11414;3015;22742;12063;1859;1357;100;1; NA;62041;  X*
18; 22.0;106053;63180;18582;48307;14320;35176;5335;1574;100;20; NA;292527;  X*
19; 23.0;358974;55921;51852;49427;30291;8996;3028;2297;83;38; NA;560786;  X*
20; 24.0;11353;40681;9574;4135;6457;8508;2768;2570;63;38; NA;86046;  X*
21; 25.0;4390;43623;35659;7006;4312;9316;2503;1354;47;47; NA;108163;  X*
22; 26.0;216316;13550;1117;2772;6345;1902;1202;482;37;34; NA;243686;  X*
23; 27.0;214973;30803;8807;14883;8068;13769;1191;2391;51;23; NA;294885;  X*
24; 28.0;213071;211309;36386;7306;19934;23992;2586;5037;44;17; NA;519621;  X*
25; 31.0;268495;108596;30216;14101;8471;2408;1476;348;26;10; NA;434111;  X*
26; 32.0;999545;182814;30478;31425;35448;14470;18265;5511;23;13; NA;1317956;  X*
27; 33.0;206198;54849;2161;4666;3418;3754;1194;221;8;1; NA;276461;  X*
28; 34.0;508960;128829;41094;18306;27948;7381;6396;4365;1;7; NA;743279;  X*
29; 35.1;571574;573129;5829;44675;19877;11629;4113;1584;3;1; NA;1232410;  X*
30; 36.0;372625;61658;6016;4867;11794;3938;1589;1450;3;1; NA;463937;  X*
31; 37.0;585270;153217;18679;17515;18658;7960;4904;1863;1;1; NA;808066;  X*
32; 38.0;453848;6447;3371;508;1872;2053;1607;895;16;1; NA;470601;  X*
33; 39.0;798091;57007;12883;22952;33209;29864;5133;4227;44;10; NA;963366;  X*
34; 40.0;595021;124891;48895;43888;66571;30187;8690;12365;53;21; NA;930508;  X*
35; 41.2;89601;6061;17024;4185;2288;3195;1214;610;63;44; NA;124178;  X*
36; 42.1;78080;51070;8166;4589;7976;6045;4237;1013;54;38; NA;161176;  X*
37; 43.0;20453;15877;4580;5782;6153;4501;2984;1718;48;41; NA;62048;  X*
38; 44.0;751;4820;8431;12645;5898;8280;6123;1061;57;51; NA;48009;  X*
39; 45.0;15582;16814;6863;10120;11332;9929;4372;1857;66;37; NA;76869;  X*
40; 46.0;73466;55053;23896;8037;10289;3867;2640;2048;61;47; NA;179296;  X*
41; 47.0;9910;48576;18086;8000;20089;6534;1333;1111;53;43; NA;113639;  X*
42; 48.0;13060;44355;15133;1368;11243;2937;2472;574;34;29; NA;91142;  X*
43; 49.0;37041;40493;18876;12798;28356;10014;5069;2630;26;27; NA;155277;  X*
44; 50.0;597646;39159;34129;25924;26135;15574;5190;4061;38;34; NA;747818;  X*
45; 51.0;21403;17339;25557;7192;28535;13278;2925;1464;50;40; NA;117693;  X*
46; 52.1;25835;54146;5713;10414;17044;8365;2661;3762;60;35; NA;127940;  X*
47; 53.0;123987;8450;5422;5021;7811;12499;551;419;75;34; NA;164160;  X*
48; 54.0;24379;51496;18061;37354;15815;8007;2049;1491;66;34; NA;158652;  X*
49; 55.0;152851;77422;5362;23006;6069;6189;2090;1382;53;26; NA;274371;  X*
50; 56.0;45612;18080;1446;5447;4057;4793;4777;2104;56;29; NA;86316;  X*
51; 57.0;215855;145777;10339;15859;4225;7882;4787;685;30;21; NA;405409;  X*
