obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 9.0;285962;36251;6751;22160;13747;8355;2060;961;0;0; NA;376247;  1*
2; 9.9;1769642;230055;26427;198627;51068;52033;6445;5800;0;0; NA;2340097;  1*
3; 11.0;849816;376504;56465;5513;5009;5555;4800;1485;0;0; NA;1305147;  1*
4; 11.9;1512801;325760;39079;40913;19749;12439;3445;1559;40;35; NA;1955745;  1*
5; 12.9;1032412;330070;97731;27165;16397;13799;5711;2329;40;41; NA;1525614;  1*
6; 14.0;1243480;39891;34711;12790;11364;15942;3473;1241;54;54; NA;1362892;  1*
7; 14.9;854937;120119;27385;21148;9085;2193;3984;1912;48;57; NA;1040763;  1*
8; 16.9;645276;58810;54605;30765;8308;1901;571;906;40;84; NA;801142;  1*
9; 18.0;1727852;213252;34787;53070;92625;32862;34511;9410;51;77; NA;2198369;  1*
10; 19.9;867634;52461;3843;26906;33859;27543;32788;1647;54;63; NA;1046681;  1*
11; 20.9;2340361;252358;31998;136266;25092;52027;114506;15418;75;70; NA;2968026;  1*
12; 22.0;1584861;40113;29826;15903;22706;39928;4746;2989;100;56; NA;1741072;  1*
13; 22.9;184422;1858;2883;5571;4156;2983;1945;667;100;80; NA;204485;  1*
14; 23.9;1613611;146847;5392;125450;54671;355347;11448;9231;100;75; NA;2321997;  1*
15; 25.0;129100;17171;3046;5220;4023;4454;4677;507;100;69; NA;168198;  1*
16; 25.9;2297647;195375;48561;51184;239028;129946;55018;6354;100;53; NA;3023113;  1*
17; 27.0;1152055;108419;30898;6178;32035;26899;6837;2365;100;27; NA;1365686;  1*
18; 27.9;2427903;223961;203472;119405;114293;81082;23865;6652;83;48; NA;3200633;  1*
19; 29.0;1753269;60144;58051;183434;76716;78809;53540;7419;87;67; NA;2271382;  1*
20; 30.0;807865;170663;68069;142795;36276;46430;45998;7435;78;93; NA;1325531;  1*
21; 30.9;926542;61450;27174;25950;20383;15568;8401;2361;77;100; NA;1087829;  1*
22; 32.0;109367;88995;40646;22926;13677;9469;13670;2905;69;100; NA;301655;  1*
23; 32.9;634553;28677;8363;9631;10397;21137;10828;1356;75;81; NA;724942;  1*
24; 33.9;931865;107115;63003;57491;89442;99716;56587;15123;83;69; NA;1420342;  1*
25; 34.9;380778;74120;16486;21112;17417;12858;5776;1690;81;63; NA;530237;  1*
26; 36.0;615926;92388;14003;139207;95529;34967;65508;6841;88;66; NA;1064369;  1*
27; 36.9;1127893;368927;58277;312868;25846;28031;46832;11409;69;87; NA;1980083;  1*
28; 38.0;690241;23233;22219;19128;29525;13398;7871;2545;64;93; NA;808160;  1*
29; 39.0;274553;9444;2558;3935;2271;1183;5787;456;61;97; NA;300187;  1*
30; 39.9;2077774;931929;9512;210948;35682;65523;40340;6686;54;77; NA;3378394;  1*
31; 41.0;1569784;199569;152863;30749;112359;48159;23820;7876;63;67; NA;2145179;  1*
32; 41.9;682133;19156;9542;11045;11862;17419;6896;2573;67;63; NA;760626;  1*
33; 42.9;1051059;523652;14382;95144;48012;60868;66559;5093;69;47; NA;1864769;  1*
34; 43.9;3590243;102419;20979;9438;17890;5724;22100;2636;67;47; NA;3771429;  1*
35; 44.9;1169371;54141;17352;23217;5981;14307;26871;1111;69;44; NA;1312351;  1*
36; 45.9;1511667;224874;86822;45360;38680;59199;30960;12656;63;44; NA;2010218;  1*
37; 46.9;200094;100375;24884;31753;12225;9541;4852;1158;60;61; NA;384882;  1*
38; 48.0;708097;323595;112039;82630;23452;35395;75201;5809;63;75; NA;1366218;  1*
39; 48.9;1223898;368813;72445;170278;31615;56570;38099;2320;60;77; NA;1964038;  1*
40; 50.0;1158999;277034;41048;99770;37296;32982;22215;6874;54;75; NA;1676218;  1*
41; 50.9;199257;56450;15856;64730;8771;7379;11221;1787;53;90; NA;365451;  1*
42; 51.9;954700;240377;53274;247850;16104;31282;21666;4221;51;100; NA;1569474;  1*
43; 52.9;931503;58866;73492;23887;35628;55897;23524;13621;61;100; NA;1216418;  1*
44; 54.0;1472679;42023;11836;19597;8977;3779;11419;2044;56;100; NA;1572354;  1*
45; 54.9;543483;139817;121079;39733;25282;63260;16118;4701;66;100; NA;953473;  1*
46; 55.9;1440193;42256;8096;18000;15691;10627;9378;1877;70;84; NA;1546118;  1*
47; 57.0;3377318;308797;25875;15752;44595;34356;21368;4327;63;56; NA;3832388;  1*
48; 57.9;497899;307602;56778;43814;43650;34090;33026;3901;66;43; NA;1020760;  1*
49; 58.9;766672;342032;67502;50064;38011;32605;21278;7744;60;27; NA;1325908;  1*
50; 60.0;1658371;201319;16931;108520;22890;30712;42924;2419;56;34; NA;2084086;  1*
51; 61.0;364409;282793;36765;63284;119134;15385;59254;4550;50;47; NA;945574;  1*
52; 61.9;748653;249325;22366;84347;192329;42424;13822;6854;53;43; NA;1360120;  1*
53; 63.0;852395;46287;2340;41485;6534;4174;8967;1237;50;60; NA;963419;  1*
54; 64.0;1131393;108896;190190;47574;30049;20799;23325;2088;47;74; NA;1554314;  1*
55; 64.9;1530019;136731;53027;58455;45389;26000;17873;5292;51;83; NA;1872786;  1*
56; 66.0;148877;66404;22787;11509;4962;5729;7119;1240;47;91; NA;268627;  1*
57; 66.9;257641;103334;45669;2955;5318;8701;3272;1070;48;78; NA;427960;  1*
58; 67.9;423496;222271;50042;18505;101319;26561;19838;2646;50;48; NA;864678;  1*
59; 68.9;2132561;66434;181305;81116;78483;38748;14714;4986;51;63; NA;2598347;  1*
60; 69.9;156330;95337;34613;13653;8085;8275;5906;997;51;61; NA;323196;  1*
61; 70.9;1549098;75169;7575;30308;12779;11291;2669;3152;56;61; NA;1692041;  1*
62; 72.0;375037;19893;12154;8151;7550;12318;2522;3574;67;75; NA;441199;  1*
63; 72.9;976913;185913;65360;37505;66073;49352;14480;4951;70;51; NA;1400547;  1*
64; 73.9;2001723;1030565;41834;142782;54496;33575;17562;5092;64;37; NA;3327629;  1*
65; 74.9;1266617;43793;42342;7075;12036;4433;2349;1429;60;48; NA;1380074;  1*
66; 76.0;625303;76559;30501;10698;24133;6643;2001;2066;44;44; NA;777904;  1*
67; 76.9;577694;284060;52526;17543;36483;21395;8197;4274;37;38; NA;1002172;  1*
68; 78.0;316138;589158;63004;113746;13210;33669;19579;1736;40;47; NA;1150240;  1*
69; 79.0;1449422;146142;160973;11591;63306;24893;10244;5379;44;43; NA;1871950;  1*
70; 80.0;81941;87728;72399;11689;21264;7514;2761;962;43;51; NA;286258;  1*
71; 80.9;1482652;201953;79182;89365;21181;19691;9530;5589;41;69; NA;1909143;  1*
72; 81.9;785261;143852;76485;57974;76216;19134;6549;4659;44;81; NA;1170130;  1*
73; 82.9;1167670;172297;115677;43772;81684;33171;8998;13504;47;78; NA;1636773;  1*
74; 84.0;886340;154346;39495;29365;78733;27190;25685;4085;54;63; NA;1245239;  1*
75; 84.9;1016352;208652;41938;42935;35441;26118;20343;4804;60;51; NA;1396583;  1*
76; 86.0;1997983;89554;94089;38005;59707;35707;15650;4063;66;54; NA;2334758;  1*
77; 86.9;2524727;124408;91120;52561;2653;28247;4312;6846;64;63; NA;2834874;  1*
78; 87.9;962105;376351;77585;20293;16725;44414;10875;7757;63;60; NA;1516105;  1*
79; 89.0;144822;23318;17193;16376;7023;6444;5008;1212;64;78; NA;221396;  1*
80; 89.9;556909;46460;19974;22634;3862;6069;1402;669;57;78; NA;657979;  1*
81; 91.0;92518;104069;21471;10920;8477;4105;1820;1492;50;60; NA;244872;  1*
82; 91.9;806483;103536;10682;24056;13416;6488;2871;708;43;63; NA;968240;  1*
83; 92.9;527953;41575;20052;5374;7488;10773;2927;585;44;50; NA;616727;  1*
84; 93.9;1005947;159810;161944;140606;91488;21258;16312;4923;41;54; NA;1602288;  1*
