obs; time; Delta; Theta; Alpha1; Alpha2; Beta1; Beta2; Gamma1; Gamma2; Attention; Meditation; Derived; totPwr; class 
1; 6.0;1845848;47013;12777;4212;4495;2168;1560;678;0;0; NA;1918751;  X*
2; 7.0;857181;328124;136598;18487;53826;10421;6589;5012;0;0; NA;1416238;  X*
3; 8.0;306508;52683;4395;15084;4098;3915;2290;2523;0;0; NA;391496;  X*
4; 9.0;212008;27052;9334;1220;5329;1204;290;279;40;30; NA;256716;  X*
5; 10.0;90929;55313;15924;1409;3252;2707;1621;2577;44;23; NA;173732;  X*
6; 13.0;563877;11236;13139;8941;2606;2516;593;417;63;47; NA;603325;  X*
7; 14.0;140185;15644;4480;9756;3163;2187;2966;1364;84;53; NA;179745;  X*
8; 15.0;84254;17763;28525;5299;8238;10324;4559;2969;100;80; NA;161931;  X*
9; 16.0;531652;48056;24420;10050;11696;11720;4063;2777;100;88; NA;644434;  X*
10; 17.0;30608;69405;86056;7944;4920;4135;3555;1912;93;88; NA;208535;  X*
11; 18.0;151125;41007;38975;16337;6698;5264;5645;2616;77;100; NA;267667;  X*
12; 19.0;836875;297626;54655;46306;21777;52821;6636;3593;69;66; NA;1320289;  X*
13; 20.0;49288;5440;5303;1769;5356;2003;1457;1006;70;69; NA;71622;  X*
14; 21.0;825727;77855;103808;19826;38701;15261;7395;5942;88;63; NA;1094515;  X*
15; 28.0;203088;179653;21193;28858;10381;5747;2542;6080;74;24; NA;457542;  X*
16; 29.0;631951;90193;60127;37430;20438;12557;4030;4843;64;51; NA;861569;  X*
17; 30.0;941213;106758;33092;9990;9253;10794;1174;3887;50;37; NA;1116161;  X*
18; 31.0;664675;59558;12982;2590;4223;1134;1024;880;24;1; NA;747066;  X*
19; 32.0;225719;228256;111335;11803;20379;12842;5180;3578;30;17; NA;619092;  X*
20; 33.0;351221;257298;68626;25864;18805;11492;10563;2928;20;1; NA;746797;  X*
21; 34.0;446742;147640;10605;16292;17178;11258;2669;1527;17;1; NA;653911;  X*
22; 35.0;1883012;348816;39235;27635;8929;28543;7664;3373;43;1; NA;2347207;  X*
23; 36.0;1044378;157785;37523;8344;3310;6184;2177;1199;40;1; NA;1260900;  X*
