obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 5.0, 219829, 43776, 2378, 2320, 1909, 6819, 3740, 3020, NA, NA, NA, 283791,  X*
2, 5.9, 18026, 9457, 52307, 9120, 4778, 16940, 12758, 13222, NA, NA, NA, 136608,  X*
3, 6.9, 122772, 18102, 6624, 4252, 2456, 4063, 4602, 4916, NA, NA, NA, 167787,  X*
4, 7.9, 1501498, 108205, 13184, 30545, 10484, 27676, 14840, 15535, 41, 40, NA, 1721967,  X*
5, 8.9, 30881, 28034, 25969, 5188, 24628, 8548, 12994, 7248, 37, 43, NA, 143490,  X*
6, 10.9, 426243, 57856, 3659, 17731, 12232, 11448, 42121, 32988, 34, 43, NA, 604278,  X*
7, 11.9, 200312, 5985, 1593, 1883, 1008, 506, 250, 267, 14, 44, NA, 211804,  X*
8, 12.9, 260186, 24730, 1600, 4745, 2384, 4119, 3769, 2640, 16, 41, NA, 304173,  X*
9, 13.9, 27227, 19303, 3944, 13449, 7139, 10818, 12420, 10234, 44, 41, NA, 104534,  X*
10, 14.9, 243910, 170680, 33893, 41883, 25927, 16743, 12443, 15975, 37, 43, NA, 561454,  X*
11, 15.9, 365646, 29627, 2765, 5351, 3347, 1737, 4149, 1618, 37, 38, NA, 414240,  X*
12, 16.9, 73865, 51342, 6813, 9810, 1975, 8725, 4912, 9803, 37, 40, NA, 167245,  X*
13, 17.9, 581980, 258840, 27822, 23189, 24918, 16327, 23020, 16100, 1, 34, NA, 972196,  X*
14, 18.9, 723905, 145326, 27387, 18711, 5812, 5970, 14807, 4825, 1, 30, NA, 946743,  X*
15, 19.9, 958476, 71811, 22100, 13112, 11481, 17912, 7347, 24245, 23, 35, NA, 1126484,  X*
16, 20.9, 652232, 49263, 8807, 32796, 2571, 9575, 3050, 3826, 21, 41, NA, 762120,  X*
17, 21.9, 3836006, 37098, 32852, 23667, 14782, 12717, 4732, 3212, 44, 53, NA, 3965066,  X*
