obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 2.0, 315414, 11396, 13350, 10246, 4010, 2247, 2312, 4427, NA, NA, NA, 363402,  X*
2, 3.0, 38242, 44943, 46962, 11141, 11434, 13827, 16092, 2086, NA, NA, NA, 184727,  X*
3, 4.0, 157527, 23091, 31322, 63946, 24436, 13587, 12589, 5211, NA, NA, NA, 331709,  X*
4, 5.0, 143630, 210327, 16216, 60197, 12949, 52933, 9598, 10608, 51, 30, NA, 516458,  X*
5, 6.1, 2034455, 84194, 43890, 25654, 52794, 25412, 29893, 13461, 63, 29, NA, 2309753,  X*
6, 7.0, 90684, 14162, 4528, 30822, 15958, 10567, 8557, 5235, 80, 37, NA, 180513,  X*
7, 8.0, 514993, 130854, 11379, 29326, 14670, 18815, 5835, 8664, 83, 26, NA, 734536,  X*
8, 9.0, 21609, 41601, 33516, 42246, 20381, 10118, 6446, 2723, 67, 43, NA, 178640,  X*
9, 10.0, 293941, 76146, 40344, 41642, 43205, 40095, 19800, 36831, 77, 44, NA, 592004,  X*
10, 11.0, 248050, 235957, 17622, 33523, 7059, 24883, 6156, 1900, 57, 24, NA, 575150,  X*
11, 12.0, 166841, 128614, 31246, 3494, 2218, 5098, 4139, 1937, 37, 26, NA, 343587,  X*
12, 13.0, 308845, 106867, 25121, 28319, 22377, 10727, 1875, 6696, 35, 13, NA, 510827,  X*
13, 14.0, 15746, 10857, 48663, 9559, 24445, 15621, 4309, 2574, 34, 23, NA, 131774,  X*
14, 15.0, 34557, 44690, 69319, 12316, 27122, 15034, 4733, 2585, 40, 43, NA, 210356,  X*
15, 16.0, 401632, 41138, 13305, 19462, 6688, 13970, 12367, 9533, 70, 51, NA, 518095,  X*
16, 17.0, 1502973, 111153, 144802, 26212, 49632, 19133, 20891, 21860, 70, 61, NA, 1896656,  X*
17, 18.0, 589908, 56406, 31783, 12474, 11094, 15900, 10893, 6204, 66, 51, NA, 734662,  X*
18, 19.0, 225564, 19643, 4716, 3529, 9490, 2338, 3409, 3082, 61, 37, NA, 271771,  X*
19, 20.0, 501489, 87312, 44974, 17169, 22359, 14182, 17093, 15009, 48, 37, NA, 719587,  X*
20, 21.0, 68453, 122412, 12148, 8829, 5496, 9141, 12856, 11468, 47, 14, NA, 250803,  X*
21, 22.0, 249008, 52891, 8049, 8987, 3444, 6757, 4228, 2831, 38, 7, NA, 336195,  X*
22, 23.0, 140682, 345123, 31430, 53849, 18650, 10144, 15326, 9710, 17, 4, NA, 624914,  X*
23, 24.0, 462952, 32763, 8035, 11460, 3807, 3250, 1786, 1157, 16, 4, NA, 525210,  X*
24, 25.0, 181106, 32801, 74463, 35220, 26323, 13110, 14188, 7224, 24, 34, NA, 384435,  X*
25, 26.0, 99628, 12200, 16119, 6621, 2376, 3987, 1886, 3437, 30, 51, NA, 146254,  X*
26, 27.0, 304158, 90778, 26412, 11199, 10225, 10248, 20091, 4933, 51, 56, NA, 478044,  X*
27, 28.0, 31098, 32160, 31710, 16144, 14836, 3692, 5469, 6263, 48, 63, NA, 141372,  X*
28, 29.0, 96024, 69156, 18660, 21276, 8210, 9422, 10039, 3773, 48, 48, NA, 236560,  X*
29, 30.0, 616158, 603954, 165789, 112921, 56140, 91377, 42704, 28762, 47, 35, NA, 1717805,  X*
30, 31.0, 68938, 33682, 4655, 2414, 2312, 729, 2173, 1782, 24, 27, NA, 116685,  X*
31, 32.0, 45537, 28401, 60395, 2819, 8743, 5286, 5480, 3720, 29, 35, NA, 160381,  X*
32, 33.0, 97450, 53073, 38703, 9329, 9982, 8105, 4087, 3885, 29, 38, NA, 224614,  X*
33, 34.0, 345984, 219915, 95489, 23853, 13234, 15004, 7290, 3189, 17, 41, NA, 723958,  X*
34, 35.0, 572305, 530376, 7369, 24540, 74883, 18106, 7646, 5884, 24, 35, NA, 1241109,  X*
35, 36.0, 819076, 19661, 31109, 14853, 23619, 5518, 8367, 8385, 29, 34, NA, 930588,  X*
36, 37.1, 79186, 65482, 42643, 19440, 23821, 11767, 4179, 5977, 29, 37, NA, 252495,  X*
37, 38.0, 28317, 18993, 46412, 26436, 23807, 8054, 9884, 7712, 41, 53, NA, 169615,  X*
38, 39.0, 86799, 57855, 12756, 3999, 1739, 4488, 2348, 2921, 50, 69, NA, 172905,  X*
39, 40.0, 572930, 15259, 6504, 5095, 4270, 2175, 4013, 5496, 51, 63, NA, 615742,  X*
40, 41.0, 1170944, 750480, 78257, 41207, 38465, 51955, 100649, 24212, 44, 48, NA, 2256169,  X*
41, 42.0, 138389, 12371, 3032, 7671, 542, 1355, 1111, 2527, 38, 43, NA, 166998,  X*
42, 43.0, 1517906, 433591, 146890, 57201, 28395, 18301, 13655, 66145, 27, 47, NA, 2282084,  X*
43, 44.0, 160042, 25268, 6278, 9718, 1514, 5195, 4098, 4041, 34, 47, NA, 216154,  X*
44, 45.0, 596299, 120396, 62629, 9787, 14682, 14331, 22533, 15680, 38, 57, NA, 856337,  X*
45, 46.0, 650889, 168761, 35575, 20246, 7982, 29911, 19068, 30722, 51, 47, NA, 963154,  X*
46, 47.0, 20786, 30089, 36947, 17566, 22206, 12600, 25948, 13516, 77, 53, NA, 179658,  X*
47, 48.0, 57291, 57453, 37345, 18284, 11683, 14974, 24084, 18889, 77, 56, NA, 240003,  X*
48, 49.0, 1368678, 160002, 129779, 8786, 9399, 26972, 22922, 20522, 80, 61, NA, 1747060,  X*
49, 50.0, 651248, 111605, 4974, 53224, 9288, 5619, 5784, 8800, 57, 66, NA, 850542,  X*
50, 51.0, 2056057, 513525, 52323, 42075, 27206, 34485, 34789, 52867, 43, 50, NA, 2813327,  X*
51, 52.0, 98930, 10848, 9815, 3702, 2742, 2744, 5807, 3213, 40, 53, NA, 137801,  X*
52, 53.0, 104951, 4841, 16613, 6568, 2218, 5934, 7756, 3483, 53, 61, NA, 152364,  X*
53, 54.0, 89739, 16501, 4305, 6426, 4206, 3873, 6523, 7946, 77, 61, NA, 139519,  X*
54, 55.0, 43562, 62101, 21124, 30135, 15815, 9918, 9003, 9159, 83, 74, NA, 200817,  X*
55, 56.0, 234539, 53651, 10855, 5706, 15933, 8681, 5201, 4883, 84, 61, NA, 339449,  X*
56, 57.0, 449130, 126395, 22887, 37063, 18579, 9484, 25382, 40289, 64, 44, NA, 729209,  X*
57, 58.0, 11995, 24727, 13093, 15165, 36550, 10708, 22747, 23446, 69, 43, NA, 158431,  X*
58, 59.0, 227467, 170493, 43137, 14946, 14476, 36758, 20383, 35044, 78, 37, NA, 562704,  X*
59, 60.0, 617063, 125041, 8060, 46994, 34531, 16446, 40155, 21479, 77, 40, NA, 909769,  X*
60, 61.0, 74974, 9985, 6722, 859, 1157, 1593, 2099, 1872, 83, 43, NA, 99261,  X*
61, 62.1, 218601, 42962, 86451, 42324, 7497, 35673, 31639, 44149, 83, 57, NA, 509296,  X*
62, 64.0, 676498, 353275, 34403, 12304, 14346, 21710, 10647, 8647, 66, 50, NA, 1131830,  X*
63, 65.0, 111541, 31160, 49545, 8376, 23217, 19262, 11568, 7388, 75, 66, NA, 262057,  X*
64, 66.0, 47926, 46586, 26138, 10787, 17028, 10427, 6597, 7299, 66, 54, NA, 172788,  X*
65, 67.0, 101092, 24740, 18954, 33388, 37088, 7051, 7139, 4752, 75, 74, NA, 234204,  X*
66, 68.0, 387744, 160645, 51539, 23594, 19742, 10869, 7983, 12733, 67, 63, NA, 674849,  X*
67, 69.0, 114264, 51575, 33160, 16479, 43916, 13200, 19220, 6534, 57, 56, NA, 298348,  X*
68, 70.0, 134661, 227608, 54949, 48321, 8263, 21325, 12705, 12331, 48, 53, NA, 520163,  X*
69, 71.0, 245104, 55560, 110299, 8206, 12128, 9940, 8480, 6783, 41, 61, NA, 456500,  X*
70, 72.0, 49797, 53422, 61354, 9466, 21730, 9812, 7434, 2920, 50, 67, NA, 215935,  X*
71, 73.0, 75099, 12520, 19221, 24306, 27610, 29715, 17251, 2242, 63, 70, NA, 207964,  X*
72, 74.0, 107513, 46481, 4562, 18592, 3338, 3046, 3525, 540, 54, 74, NA, 187597,  X*
73, 75.0, 901789, 224118, 31265, 15913, 3638, 9927, 9458, 8282, 44, 51, NA, 1204390,  X*
74, 76.0, 648950, 375310, 20320, 43414, 20685, 13481, 10364, 6714, 30, 37, NA, 1139238,  X*
75, 77.0, 152959, 31574, 6379, 6195, 3588, 4528, 1285, 1042, 11, 29, NA, 207550,  X*
76, 78.0, 27784, 18499, 17159, 12966, 24992, 10898, 13809, 7113, 34, 30, NA, 133220,  X*
77, 79.0, 43806, 68701, 6314, 18075, 17777, 11336, 17439, 4465, 50, 34, NA, 187913,  X*
78, 80.0, 105847, 21066, 11156, 3261, 1971, 2852, 1613, 1913, 61, 47, NA, 149679,  X*
79, 81.0, 36495, 23507, 41220, 15809, 22324, 10067, 6040, 12573, 63, 57, NA, 168035,  X*
80, 82.0, 192415, 108779, 27548, 27007, 20634, 13290, 6848, 5908, 50, 54, NA, 402429,  X*
81, 83.0, 50797, 48830, 17904, 27380, 20203, 19104, 8956, 3236, 56, 61, NA, 196410,  X*
82, 84.0, 986181, 45039, 48708, 4172, 20335, 14128, 4070, 12258, 64, 63, NA, 1134891,  X*
83, 85.0, 244040, 76587, 10179, 6042, 2002, 2731, 2122, 3271, 47, 48, NA, 346974,  X*
84, 86.0, 123518, 76357, 142823, 75139, 24504, 19771, 28865, 3514, 44, 63, NA, 494491,  X*
85, 87.0, 153716, 96790, 16736, 64756, 12031, 12528, 8033, 9565, 30, 64, NA, 374155,  X*
86, 88.0, 17254, 97453, 17779, 13009, 17865, 20198, 6580, 4996, 30, 54, NA, 195134,  X*
87, 89.0, 164270, 16855, 20792, 3057, 3444, 2500, 3408, 1790, 41, 69, NA, 216116,  X*
