obs, time, Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2, Attention, Meditation, Derived, totPwr, class 
1, 8.9, 409739, 13470, 7756, 13611, 4263, 18720, 2033, 5610, NA, NA, NA, 475202,  X*
2, 9.9, 2210950, 39269, 6359, 10157, 9618, 4733, 2625, 1791, NA, NA, NA, 2285502,  X*
3, 11.0, 1994363, 101646, 7462, 12497, 11201, 7590, 5545, 3702, NA, NA, NA, 2144006,  X*
4, 11.9, 2580657, 244430, 149015, 16560, 8441, 24486, 26837, 29267, 30, 53, NA, 3079693,  X*
5, 12.9, 723150, 59591, 18310, 2286, 4440, 9836, 5849, 4824, 29, 54, NA, 828286,  X*
6, 13.9, 941463, 111986, 46850, 6481, 14511, 66782, 40227, 32934, 41, 56, NA, 1261234,  X*
7, 15.0, 676012, 28921, 11007, 547, 1951, 2562, 4132, 1979, 35, 60, NA, 727111,  X*
8, 15.9, 403251, 897926, 28433, 38549, 62131, 91468, 59513, 17228, 38, 27, NA, 1598499,  X*
9, 16.9, 666474, 152808, 31053, 24109, 13057, 20906, 11222, 16876, 37, 30, NA, 936505,  X*
10, 18.0, 1357285, 314581, 149329, 180960, 25815, 93202, 143497, 48270, 27, 48, NA, 2312939,  X*
11, 18.9, 507127, 194011, 69340, 12768, 12448, 29282, 57475, 59330, 30, 53, NA, 941781,  X*
12, 19.9, 170143, 107443, 42127, 9962, 31428, 62306, 58499, 30338, 44, 74, NA, 512246,  X*
13, 20.9, 967656, 257147, 102651, 109488, 20066, 30521, 39994, 12064, 40, 84, NA, 1539587,  X*
14, 22.0, 929667, 47080, 12581, 11885, 11120, 15693, 11480, 7148, 44, 70, NA, 1046654,  X*
15, 22.9, 967653, 27946, 22335, 34684, 17530, 21812, 14586, 16261, 51, 83, NA, 1122807,  X*
16, 23.9, 839135, 220339, 25042, 30767, 12301, 16714, 30420, 21282, 35, 80, NA, 1196000,  X*
17, 24.9, 818411, 879790, 231221, 66206, 38474, 67110, 145224, 108964, 35, 67, NA, 2355400,  X*
18, 26.0, 961369, 1132248, 132217, 41733, 37110, 71050, 38054, 54425, 21, 56, NA, 2468206,  X*
19, 26.9, 1522834, 477503, 259887, 27052, 57183, 79338, 157228, 52511, 13, 48, NA, 2633536,  X*
20, 27.9, 511431, 724376, 189132, 106043, 59993, 141917, 47263, 53406, 21, 54, NA, 1833561,  X*
21, 29.0, 237527, 927650, 18504, 90565, 41823, 65902, 51234, 85287, 21, 40, NA, 1518492,  X*
22, 30.0, 352492, 93380, 8913, 19938, 9939, 18299, 27012, 20658, 30, 48, NA, 550631,  X*
23, 30.9, 2301066, 596134, 271763, 114148, 29010, 44277, 41017, 55425, 23, 51, NA, 3452840,  X*
24, 31.9, 2576723, 337153, 79695, 156714, 96461, 126466, 64960, 57657, 27, 54, NA, 3495829,  X*
25, 32.9, 302160, 178761, 34859, 26260, 16827, 20971, 20537, 20627, 29, 69, NA, 621002,  X*
26, 34.0, 1132935, 108867, 63077, 35515, 12086, 22274, 15669, 16809, 26, 84, NA, 1407232,  X*
27, 34.9, 163190, 107018, 7896, 13674, 12328, 11902, 24893, 11502, 34, 64, NA, 352403,  X*
28, 36.0, 491153, 192393, 479635, 187494, 73523, 87176, 127025, 44189, 24, 78, NA, 1682588,  X*
29, 37.0, 505818, 109380, 5227, 20497, 21890, 43505, 42786, 14239, 37, 66, NA, 763342,  X*
30, 38.0, 376626, 202048, 22600, 56857, 21904, 25644, 20496, 10984, 35, 50, NA, 737159,  X*
31, 38.9, 1303213, 196509, 66304, 48132, 97183, 45397, 47420, 24150, 40, 56, NA, 1828308,  X*
32, 39.9, 949929, 272216, 30149, 25754, 14364, 18717, 13851, 12938, 35, 26, NA, 1337918,  X*
33, 41.0, 1011673, 440961, 221464, 98086, 79251, 115310, 82563, 68234, 29, 41, NA, 2117542,  X*
34, 41.9, 597170, 67625, 32640, 14529, 7451, 3775, 3214, 4890, 20, 50, NA, 731294,  X*
35, 43.0, 157400, 58441, 23001, 40184, 9268, 12106, 18060, 13460, 16, 61, NA, 331920,  X*
36, 45.0, 1483837, 234754, 114926, 45953, 118976, 66252, 27455, 27265, 26, 70, NA, 2119418,  X*
37, 45.9, 1229945, 401467, 240587, 199941, 46946, 64104, 58714, 66347, 20, 77, NA, 2308051,  X*
38, 47.0, 2100024, 236694, 32987, 65771, 32524, 36313, 15278, 20217, 30, 69, NA, 2539808,  X*
39, 47.9, 454740, 61560, 1610, 12043, 3403, 14552, 8892, 2053, 37, 51, NA, 558853,  X*
40, 48.9, 70528, 6886, 223, 3814, 4199, 1273, 703, 1029, 34, 48, NA, 88655,  X*
41, 49.9, 643606, 2214158, 508995, 322851, 78294, 121454, 90858, 58843, 26, 37, NA, 4039059,  X*
42, 50.9, 1045078, 780008, 174226, 53661, 88491, 27863, 69798, 81517, 13, 35, NA, 2320642,  X*
43, 52.9, 468113, 92710, 52781, 23322, 8759, 18357, 20910, 13615, 8, 50, NA, 698567,  X*
44, 54.9, 1651276, 1171288, 372956, 223861, 155719, 177309, 72628, 113421, 7, 53, NA, 3938458,  X*
45, 55.9, 540532, 430942, 430015, 170430, 254632, 138159, 154568, 103220, 17, 63, NA, 2222498,  X*
46, 56.9, 611988, 108762, 30098, 43932, 44502, 20041, 37136, 15495, 30, 69, NA, 911954,  X*
47, 58.0, 808880, 82162, 25897, 15119, 11332, 19784, 14478, 7320, 35, 64, NA, 984972,  X*
48, 58.9, 812147, 609626, 224878, 72886, 96726, 103764, 103583, 108242, 37, 63, NA, 2131852,  X*
49, 59.9, 1222676, 419666, 74271, 216313, 38852, 61043, 64130, 34689, 30, 57, NA, 2131640,  X*
50, 61.0, 198769, 57689, 9872, 29734, 15667, 38052, 21255, 12778, 44, 56, NA, 383816,  X*
51, 61.9, 327356, 116853, 52614, 9655, 24062, 10084, 27087, 22120, 37, 56, NA, 589831,  X*
52, 62.9, 893225, 114443, 32502, 24634, 18961, 42354, 20981, 20402, 43, 54, NA, 1167502,  X*
53, 63.9, 375743, 37583, 27644, 29389, 22372, 10144, 10212, 1620, 44, 60, NA, 514707,  X*
54, 64.9, 653836, 79696, 11635, 3103, 9078, 28638, 7888, 6368, 41, 47, NA, 800242,  X*
55, 65.9, 1035306, 593300, 47798, 33386, 10688, 17776, 27932, 25716, 34, 30, NA, 1791902,  X*
56, 66.9, 1113859, 136336, 32247, 37657, 18360, 7763, 11888, 13897, 16, 37, NA, 1372007,  X*
57, 67.9, 1277473, 300164, 15798, 86722, 9170, 19934, 25206, 17123, 10, 24, NA, 1751590,  X*
58, 69.0, 502033, 61294, 4548, 14892, 8845, 20456, 19641, 6409, 8, 30, NA, 638118,  X*
59, 70.0, 635763, 336840, 30218, 17037, 33566, 20455, 19161, 9708, 14, 30, NA, 1102748,  X*
60, 70.9, 1432333, 359232, 187373, 8060, 22446, 63861, 54209, 43641, 24, 29, NA, 2171155,  X*
61, 72.0, 978431, 340715, 39690, 61183, 64037, 56241, 55518, 57441, 34, 26, NA, 1653256,  X*
